gtbboxid,classid,imageid,lx,rx,ty,by,difficult,split
0,0,0,0.1075,0.2350,0.0000,0.2433,0,train
1,0,0,0.2350,0.3775,0.0000,0.2500,0,train
2,1,0,0.3900,0.5250,0.0033,0.2700,0,train
3,1,0,0.5200,0.6500,0.0200,0.2700,0,train
4,1,0,0.6450,0.7650,0.0467,0.2733,0,train
5,2,0,0.8100,0.9550,0.0100,0.2833,0,train
6,3,0,0.1125,0.2175,0.3433,0.5833,0,train
7,3,0,0.2200,0.3550,0.3467,0.6100,0,train
8,3,0,0.3575,0.4925,0.3567,0.6133,0,train
9,4,0,0.5000,0.5725,0.3833,0.6133,0,train
10,4,0,0.5750,0.6475,0.3867,0.6167,0,train
11,4,0,0.6475,0.7200,0.3900,0.6200,0,train
12,4,0,0.7250,0.8000,0.3933,0.6233,0,train
13,5,0,0.0900,0.2300,0.6633,0.9367,0,train
14,0,0,0.0000,0.1050,0.0000,0.2333,0,train
15,5,0,0.2300,0.3700,0.6667,0.9300,0,train
16,6,0,0.3725,0.5000,0.6733,0.9333,0,train
17,6,0,0.5025,0.6300,0.6833,0.9400,0,train
18,6,0,0.6275,0.7450,0.6767,0.9033,0,train
19,7,0,0.7400,0.8700,0.6800,0.9000,0,train
20,7,0,0.8675,1.0000,0.6867,0.9367,0,train
21,5,0,0.0000,0.0950,0.6600,0.9267,0,train
22,3,0,0.0000,0.0975,0.3300,0.5933,0,train
23,0,1,0.0700,0.2467,0.0600,0.2550,0,train
24,0,1,0.2433,0.4400,0.0500,0.2650,0,train
25,1,1,0.4500,0.6133,0.0800,0.2825,0,train
26,1,1,0.6167,0.7800,0.0875,0.2825,0,train
27,1,1,0.7833,0.9200,0.1100,0.2900,0,train
28,3,1,0.0767,0.2400,0.3275,0.5000,0,train
29,3,1,0.2300,0.4100,0.3350,0.5175,0,train
30,3,1,0.4067,0.5833,0.3425,0.5225,0,train
31,4,1,0.5867,0.6767,0.3600,0.5250,0,train
32,4,1,0.6800,0.7767,0.3650,0.5300,0,train
33,4,1,0.7700,0.8667,0.3675,0.5300,0,train
34,4,1,0.8667,0.9633,0.3675,0.5350,0,train
35,5,1,0.0667,0.2467,0.5600,0.7525,0,train
36,5,1,0.2467,0.4133,0.5625,0.7475,0,train
37,6,1,0.4200,0.5833,0.5675,0.7475,0,train
38,6,1,0.5833,0.7467,0.5675,0.7475,0,train
39,6,1,0.7400,0.8767,0.5750,0.7250,0,train
40,7,1,0.8833,1.0000,0.5725,0.7250,0,train
41,8,1,0.0267,0.1433,0.8050,0.9650,0,train
42,8,1,0.1667,0.2700,0.7925,0.9025,0,train
43,8,1,0.2767,0.3867,0.7925,0.9075,0,train
44,8,1,0.3867,0.5133,0.8000,0.9550,0,train
45,8,1,0.5167,0.6200,0.7950,0.9050,0,train
46,9,1,0.6233,0.7033,0.7925,0.8625,0,train
47,9,1,0.7200,0.8233,0.7925,0.8950,0,train
48,9,1,0.8333,0.9400,0.7925,0.8975,0,train
49,10,2,0.0175,0.1125,0.0867,0.2967,0,train
50,10,2,0.1125,0.2175,0.0933,0.2933,0,train
51,10,2,0.2150,0.3125,0.0900,0.2933,0,train
52,11,2,0.4425,0.5100,0.1000,0.2867,0,train
53,11,2,0.5100,0.5725,0.0933,0.2933,0,train
54,11,2,0.5775,0.6425,0.1033,0.2867,0,train
55,11,2,0.6400,0.7075,0.1000,0.2867,0,train
56,11,2,0.7075,0.7725,0.0933,0.2800,0,train
57,11,2,0.7775,0.8450,0.0900,0.2800,0,train
58,11,2,0.8425,0.9025,0.0933,0.2800,0,train
59,413,2,0.9000,1.0000,0.0667,0.2733,0,train
60,13,2,0.0150,0.1025,0.4900,0.6500,0,train
61,13,2,0.0950,0.2025,0.4733,0.6500,0,train
62,13,2,0.2000,0.2950,0.4700,0.6500,0,train
63,14,2,0.5825,0.6425,0.4567,0.6367,0,train
64,14,2,0.6450,0.7275,0.4700,0.6500,0,train
65,14,2,0.7275,0.8025,0.4600,0.6433,0,train
66,14,2,0.8025,0.8775,0.4533,0.6467,0,train
67,15,2,0.0150,0.1050,0.7633,0.9300,0,train
